pedalconfig,description
"[0,0,0,0,0,0,0,0,0]",No effects clean tone
"[1,0,0,0,0,0,0,0,0]",wah wah 
"[0,1,0,0,0,0,0,0,0]",fuzz
"[0,0,1,0,0,0,0,0,0]",compressor
"[0,0,0,1,0,0,0,0,0]",EQ
"[0,0,0,0,1,0,0,0,0]",distortion
"[0,0,0,0,0,1,0,0,0]",delay
"[0,0,0,0,0,0,1,0,0]",tremolo
"[0,0,0,0,0,0,0,1,0]",chorus
"[0,0,0,0,0,0,0,0,1]",flanger
"[0,0,0,0,0,0,0,0,0]","Bright, crisp tones emanate, highlighting natural string vibrations"
"[0,0,0,0,0,0,0,0,0]","Warm woody resonance flows, echoing classic acoustic richness"
"[0,0,0,0,0,0,0,0,0]","Deep, full-bodied sound projects powerfully in open space"
"[0,0,0,0,0,0,0,0,0]","Rich, clear, and articulate; perfect for detailed fingerstyle"
"[0,0,0,0,0,0,0,0,0]","Smooth, mellow tones; ideal for jazz and soft blues"
"[0,0,0,0,0,0,0,0,0]","Raw, gritty edge cuts through the mix, purely organic"
"[0,0,0,0,0,0,0,0,0]","Gentle, soothing melodies drift softly from the hollow body"
"[0,0,0,0,0,0,0,0,0]","Bold, powerful strikes emphasize the guitar's natural dynamics"
"[0,0,0,0,0,0,0,0,0]","Sharp, edgy twangs perfect for country and bluegrass"
"[0,0,0,0,0,0,0,0,0]","Pure, unaltered sound rings true, a mirror of craftsmanship"
"[0,0,0,0,0,0,0,0,0]","Vibrant and lively, capturing the essence of every note"
"[0,0,0,0,0,0,0,0,0]",Subtle nuances reveal the guitar?s unique character
"[0,0,0,0,0,0,0,0,0]",Transparent tones allow underlying wood quality to shine
"[0,0,0,0,0,0,0,0,0]",Bell-like clarity resounds with each plucked note
"[0,0,0,0,0,0,0,0,0]","Soft, lush undertones provide a rich harmonic backdrop"
"[0,0,0,0,0,0,0,0,0]","Thick, creamy textures envelop the listener in warmth"
"[0,0,0,0,0,0,0,0,0]","Robust and round, a foundation for any ensemble"
"[0,0,0,0,0,0,0,0,0]","Minimalist, direct and unprocessed sound stands proudly"
"[0,0,0,0,0,0,0,0,0]","Metallic, bright twangs give life to classic riffs"
"[0,0,0,0,0,0,0,0,0]",Dynamic contrasts showcase the natural acoustic range
"[0,0,0,0,0,0,0,0,0]","Delicate and airy, perfect for ethereal musical passages"
"[0,0,0,0,0,0,0,0,0]","Earthy, organic tones hark back to roots music"
"[0,0,0,0,0,0,0,0,0]",Stripped-back sound exposes raw musical beauty
"[0,0,0,0,0,0,0,0,0]","Clear, punchy output suitable for percussive strumming"
"[0,0,0,0,0,0,0,0,0]",Silky smooth transitions glide effortlessly across genres
"[0,0,0,0,0,0,0,0,0]","Dry, direct sound emphasizes technical playing skills"
"[0,0,0,0,0,0,0,0,0]","Radiant and shimmering, ideal for bright melodic lines"
"[0,0,0,0,0,0,0,0,0]",Unfiltered clarity captures the essence of the wood
"[0,0,0,0,0,0,0,0,0]",Gritty realism brings blues and rock to life
"[0,0,0,0,0,0,0,0,0]","Strong, assertive notes command attention in any mix"
"[0,0,0,0,0,0,0,0,0]","Subdued and intimate, perfect for personal reflection"
"[0,0,0,0,0,0,0,0,0]","Crisp definition in each note, a guitarist?s dream"
"[0,0,0,0,0,0,0,0,0]",Lively twangs resonate with a vintage flair
"[0,0,0,0,0,0,0,0,0]","Solid, grounded tonality anchors blues and folk tunes"
"[0,0,0,0,0,0,0,0,0]","Focused and direct, every pluck resonates clearly"
"[0,0,0,0,0,0,0,0,0]",Pure acoustic bliss envelops listeners in natural vibes
"[0,0,0,0,0,0,0,0,0]",Subtle warmth radiates from each carefully crafted note
"[0,0,0,0,0,0,0,0,0]","Vibrant, full tones fill the air with color"
"[0,0,0,0,0,0,0,0,0]",Raw power and emotion bleed through each string
"[0,0,0,0,0,0,0,0,0]","Clean, unassuming sound perfect for classical pieces"
"[0,0,0,0,0,0,0,0,0]","Intimate, whisper-like tones invite close listening"
"[0,0,0,0,0,0,0,0,0]",Bold clarity meets understated elegance in perfect harmony
"[0,0,0,0,0,0,0,0,0]","Unadorned, straightforward sound appeals across musical styles"
"[0,0,0,0,0,0,0,0,0]",Lush overtones layer intricately for a rich sound
"[0,0,0,0,0,0,0,0,0]","Bright, direct tones emphasize the guitar?s high-quality build"
"[0,0,0,0,0,0,0,0,0]","Gentle, melodious sound ideal for soothing lullabies"
"[0,0,0,0,0,0,0,0,0]","Powerful, robust strumming fills the room with energy"
"[0,0,0,0,0,0,0,0,0]","Delicate, detailed picking articulates complex melodies beautifully"
"[0,0,0,0,0,0,0,0,0]","Dry, wooden tones echo traditional craftsmanship"
"[0,0,0,0,0,0,0,0,0]","Simple yet profound, revealing the guitar's natural charm"
"[0,0,0,0,0,0,0,0,0]",Strong fundamental notes provide a stable sonic base
"[0,0,0,0,0,0,0,0,0]","Clear, unembellished sound ideal for recording and mixing"
"[0,0,0,0,0,0,0,0,0]","Vibrant, energetic strumming brings songs to life"
